Name,Address,Stars (Out of 10),Delivery Charges,Delivery Charges Description,Services Fee,Timing
Paezanos Pizza,35 Cedar Pointe Dr,9.3,$0 Delivery Fee,Delivery is free.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:00 PM
Stacked Pancake & Breakfast House,201 Cundles Rd E,9.3,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),7:00 AM - 2:15 PM
Kino Sushi Japanese Restaurant,359 Bayfield St,9.6,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:30 PM
Pizza Palace Subs and Wings,181 Livingstone St E,9.2,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),1:00 PM - 9:00 PM
Subway,7 Anne St S,9.5,$1.99 Delivery Fee,The $1.99 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),8:30 AM - 9:30 PM
2 Claw Burritos,326 Bayfield St,9.1,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:30 PM
Pizzeria Italia Restaurant,18 Mulcaster St,9.4,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),4:00 PM - 8:30 PM
The Beer Store,30 Anne St S,9.4,$2.99 Delivery Fee Over $15,Delivery is $2.99 based on the drive time to your location. You must have a food and beverage subtotal over $15 to order.,NA,10:00 AM - 8:15 PM
The Wing Spot Barrie,9 Clapperton St,9.7,$4.99 Delivery Fee,The $4.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),4:00 PM - 8:30 PM
Second Cup,320 Blake St,8.7,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),6:00 AM - 7:15 PM
Good Karma,19 Hart Dr,9.0,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:30 AM - 10:00 PM
State & Main,467 Cundles Road East,9.0,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,NA,A 10% service fee applies ($1.99 min - $1.99 max). The exact amount of service fee will be displayed at checkout. Our service fee allows Skip to maintain strong service levels in order to better serve our local partners and continue to provide more variety to our customers.
LCBO,534 Bayfield St,9.8,$4.99 Delivery Fee Over $15,Delivery is $4.99 based on the drive time to your location. You must have a food and beverage subtotal over $15 to order.,NA,11:00 AM - 7:45 PM
AvocoBar,18 Cundles Road East,9.3,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 6:30 PM
Cedar Point Convenience Store,4 Cedar Pointe Dr,9.3,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($2.00 min - $5.00 max),7:30 AM - 9:00 PM
Burrito Boyz,241 Essa Rd,9.6,$4.79 Delivery Fee,The $4.79 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:15 PM
Heinz Burger Co.,120 Anne St S,9.6,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:00 AM - 8:30 PM
